"","Plate","Timepoint","Tank.Number","Treatment","Temperature","N","PEPCK_Activity_nmolPyruvante_ngProtein","sd","se","ci"
"1",1,1,1,"Ambient","22_t1",2,0.290955672603283,0.00657490932008038,0.00464916296591547,0.0590732164967631
"2",1,1,2,"Ambient","22_t1",2,0.0336800310837593,0.00402674512580884,0.0028473387845693,0.0361788695499884
"3",1,1,3,"Ambient","22_t1",2,0.060177241687532,0.00428929682647955,0.00303299087252563,0.0385378029892597
"4",1,1,4,"Ambient","22_t1",2,0.761986848791899,0.00208483870510705,0.00147420358606137,0.0187315325872987
"5",1,1,5,"Ambient","22_t1",2,1.64975016523074,0.0258715257376718,0.01829393128875,0.23244643638437
"6",1,1,6,"Ambient","22_t1",2,1.59191649321904,0.00916320296103185,0.00647936295113427,0.0823281122170971
"7",1,1,7,"Ambient","22_t1",2,1.13597731180588,0.0432477087451459,0.0305807481244734,0.38856524665495
"8",1,1,8,"Heated","22",2,0.65375292272941,0.100737800957137,0.0712323821786123,0.905093231806889
"9",1,1,9,"Heated","22",2,0.418937952103934,0.0353137069138112,0.0249705616275902,0.317281068417428
"10",1,1,10,"Heated","22",2,0.25389402897989,0.00767900610026876,0.00542987728627291,0.0689931324916882
"11",1,1,11,"Heated","22",2,0.304128290071478,0.0077902837476096,0.0055085624653021,0.0699929224861357
"12",1,1,12,"Heated","22",2,1.64461010703597,0.000902574735027122,0.000638216715665329,0.00810931225529267
"13",1,1,13,"Heated","22",2,0.325627609089767,4.97980243208204e-05,3.52125206869447e-05,0.000447417497125106
"14",1,1,14,"Heated","22",2,0.855994916027449,0.00642721388350345,0.00454472652116161,0.0577462256478024
"15",1,2,1,"Ambient","22_t2",2,0.169183282287984,0.092951377613896,0.0657265494314173,0.835134993677895
"16",1,2,2,"Ambient","22_t2",2,0.384088360717173,0.0197283805381917,0.0139500716603841,0.177252466601149
"17",1,2,3,"Ambient","22_t2",2,0.439585410519041,0.0283664084661312,0.0200580797843088,0.254862068353955
"18",1,2,4,"Ambient","22_t2",2,0.0806450531834312,6.63611114444196e-05,4.69243919094253e-05,0.000596230930721657
"19",1,2,5,"Ambient","22_t2",2,0.285294955251683,0.011561694097284,0.00817535229819397,0.103877700091209
"20",1,2,6,"Ambient","22_t2",2,0.0103074709371218,0.000266681761078525,0.000188572481677396,0.00239604055980154
"21",1,2,7,"Ambient","22_t2",2,0.674249389821377,0.0127439102847247,0.00901130538116179,0.114499491113234
"22",1,2,8,"Heated","26",2,1.39342239354556,0.016697252723973,0.0118067406283069,0.150018863690179
"23",1,2,9,"Heated","26",2,-0.232992644180217,0.01507418218871,0.0106590564464783,0.135436153503396
"24",1,2,10,"Heated","26",2,0.808060279788407,0.011425409620865,0.00807898462074769,0.102653232651627
"25",1,2,11,"Heated","26",2,0.742283226622135,0.00582272292813777,0.0041172868674566,0.052315089895467
"26",1,2,12,"Heated","26",2,1.20875549596096,0.0859058396683383,0.0607446017730063,0.771833346745219
"27",1,2,13,"Heated","26",2,1.54477705032001,0.000693253762559128,0.000490204436588648,0.00622863793387653
"28",2,3,12,"Heated","30",2,0.181760209403095,0.000374978487582224,0.000265149831368466,0.00336904804312993
"29",2,3,13,"Heated","30",2,0.36574729145969,0.0151193171179658,0.0106909716610235,0.135841674753606
"30",2,3,14,"Heated","30",4,0.384078109725268,0.0219400656675437,0.0109700328337718,0.0349115404606781
"31",2,4,1,"Ambient","22_t4",2,0.291899957635087,0.0355196231827331,0.0251161664177015,0.31913115269115
"32",2,4,2,"Ambient","22_t4",2,0.619591143066853,0.0524018742721892,0.0370537206447499,0.470812160749215
"33",2,4,3,"Ambient","22_t4",2,0.72411036639453,0.0270900598432289,0.0191555650178965,0.243394530954499
"34",2,4,4,"Ambient","22_t4",2,0.43283064507602,0.0150907064106669,0.0106707408358779,0.135584617747324
"35",2,4,5,"Ambient","22_t4",2,0.790724899372014,0.0394509064938361,0.0278960035057479,0.35445233186508
"36",2,4,6,"Ambient","22_t4",4,-0.230774401532871,0.00124251345982234,0.000621256729911172,0.00197711618473845
"37",2,4,8,"Heated","34",2,0.435225430951041,0.0581680443213371,0.0411310185879771,0.522619143186244
"38",2,4,9,"Heated","34",2,0.353330041849184,0.0327508329610373,0.0231583360762573,0.294254559534066
"39",2,4,10,"Heated","34",2,0.18927120124025,0.0474592020852143,0.0335587236241578,0.426404013053251
"40",2,4,11,"Heated","34",4,0.238946909699299,0.0220837351856529,0.0110418675928264,0.0351401507242224
"41",2,4,12,"Heated","34",2,0.668068161560539,0.0430578871521512,0.0304465239888512,0.386859767307198
"42",2,4,13,"Heated","34",2,0.0153287822061584,0.000103160843591891,7.29457320567507e-05,0.000926863406143217
"43",2,4,14,"Heated","34",2,1.18903715152957,0.140781946070538,0.0995478687351161,1.26487560119823
"44",2,5,2,"Ambient","22_t5",2,0.762882004727517,0.0665743364048189,0.0470751647248418,0.598146680982989
"45",2,5,3,"Ambient","22_t5",4,0.81732066773579,0.0695243079995556,0.0347621539997778,0.110628688560296
"46",2,5,4,"Ambient","22_t5",2,0.811818178141751,0.0592268223276531,0.0418796876960143,0.532131886152614
"47",2,5,5,"Ambient","22_t5",2,0.346565286675682,0.0215954927919048,0.0152703193962211,0.194027804635165
"48",2,5,6,"Ambient","22_t5",2,1.13775441317293,0.0280372691109991,0.0198253431143396,0.25190486857571
"49",2,5,7,"Ambient","22_t5",2,1.04217658631713,0.0493507031284826,0.0348962168384742,0.4433984756676
"50",2,5,9,"Heated","36",2,0.674071055642217,0.00340148444539776,0.00240521271744132,0.0305611252218605
"51",2,5,10,"Heated","36",2,0.0835891214535918,0.00543569551338701,0.00384361715798125,0.0488377865367836
"52",2,5,11,"Heated","36",2,0.509483334925619,0.0252879965624248,0.0178813138519127,0.227203634754199
"53",2,5,12,"Heated","36",4,0.585489810827411,0.03181436744846,0.01590718372423,0.0506237580706448
"54",2,5,13,"Heated","36",2,0.253695431035165,0.012929571201378,0.00914258747432867,0.116167588267206
"55",2,5,14,"Heated","36",2,1.82653090576111,0.0885803849136073,0.0626357908525262,0.795863182384417
